height,depth,position,value
10.57442297,1.59501605,1.59501605,146.6278529
10.57519612,1.5942429,1.5942429,142.7255706
10.57596927,1.59346975,1.59346975,141.7255706
10.57674243,1.59269659,1.59269659,141.5488588
10.57751558,1.59192344,1.59192344,143.2744294
10.57828874,1.59115028,1.59115028,143.4511412
10.57906189,1.59037713,1.59037713,142.2744294
10.57983504,1.58960398,1.58960398,142.4511412
10.5806082,1.58883082,1.58883082,141
10.58138135,1.58805767,1.58805767,141.2744294
10.5821545,1.58728452,1.58728452,142.5488588
10.58292766,1.58651136,1.58651136,143.7255706
10.58370081,1.58573821,1.58573821,143
10.58447397,1.58496505,1.58496505,143
10.58524712,1.5841919,1.5841919,142.7255706
10.58602027,1.58341875,1.58341875,142
10.58679343,1.58264559,1.58264559,141.7255706
10.58756658,1.58187244,1.58187244,140.7255706
10.58833973,1.58109929,1.58109929,139.4511412
10.58911289,1.58032613,1.58032613,138.2744294
10.58988604,1.57955298,1.57955298,139.5488588
10.59065919,1.57877983,1.57877983,141.5488588
10.59143235,1.57800667,1.57800667,143.2744294
10.5922055,1.57723352,1.57723352,144
10.59297866,1.57646036,1.57646036,144.2744294
10.59375181,1.57568721,1.57568721,145.2744294
10.59452496,1.57491406,1.57491406,146.5488588
10.59529812,1.5741409,1.5741409,148
10.59607127,1.57336775,1.57336775,148
10.59684442,1.5725946,1.5725946,147.7255706
10.59761758,1.57182144,1.57182144,146.7255706
10.59839073,1.57104829,1.57104829,146
10.59916389,1.57027513,1.57027513,145.1767118
10.59993704,1.56950198,1.56950198,143
10.60071019,1.56872883,1.56872883,143.2744294
10.60148335,1.56795567,1.56795567,144.2744294
10.6022565,1.56718252,1.56718252,145.2744294
10.60302965,1.56640937,1.56640937,146.2744294
10.60380281,1.56563621,1.56563621,147.2744294
10.60457596,1.56486306,1.56486306,147.7255706
10.60534911,1.56408991,1.56408991,147.2744294
10.60612227,1.56331675,1.56331675,148
10.60689542,1.5625436,1.5625436,148
10.60766858,1.56177044,1.56177044,148.2744294
10.60844173,1.56099729,1.56099729,149
10.60921488,1.56022414,1.56022414,149.8232882
10.60998804,1.55945098,1.55945098,152
10.61076119,1.55867783,1.55867783,152
10.61153434,1.55790468,1.55790468,151.7255706
10.6123075,1.55713152,1.55713152,150.4511412
10.61308065,1.55635837,1.55635837,148.7255706
10.61385381,1.55558521,1.55558521,147.7255706
10.61462696,1.55481206,1.55481206,147.8232882
10.61540011,1.55403891,1.55403891,150.5488588
10.61617327,1.55326575,1.55326575,152
10.61694642,1.5524926,1.5524926,151.4511412
10.61771957,1.55171945,1.55171945,149.7255706
10.61849273,1.55094629,1.55094629,149
10.61926588,1.55017314,1.55017314,149.2744294
10.62003904,1.54939998,1.54939998,150
10.62081219,1.54862683,1.54862683,150.2744294
10.62158534,1.54785368,1.54785368,151.2744294
10.6223585,1.54708052,1.54708052,152
10.62313165,1.54630737,1.54630737,152
10.6239048,1.54553422,1.54553422,152
10.62467796,1.54476106,1.54476106,151.4511412
10.62545111,1.54398791,1.54398791,150.2744294
10.62622426,1.54321476,1.54321476,151
10.62699742,1.5424416,1.5424416,150.7255706
10.62777057,1.54166845,1.54166845,150
10.62854373,1.54089529,1.54089529,150.2744294
10.62931688,1.54012214,1.54012214,150.4511412
10.63009003,1.53934899,1.53934899,148.1767118
10.63086319,1.53857583,1.53857583,146.2744294
10.63163634,1.53780268,1.53780268,147.8232882
10.63240949,1.53702953,1.53702953,150.5488588
10.63318265,1.53625637,1.53625637,152.2744294
10.6339558,1.53548322,1.53548322,153
10.63472896,1.53471006,1.53471006,153
10.63550211,1.53393691,1.53393691,152.4511412
10.63627526,1.53316376,1.53316376,151
10.63704842,1.5323906,1.5323906,151
10.63782157,1.53161745,1.53161745,152.0977176
10.63859472,1.5308443,1.5308443,155
10.63936788,1.53007114,1.53007114,154.7255706
10.64014103,1.52929799,1.52929799,154.2744294
10.64091418,1.52852484,1.52852484,154.7255706
10.64168734,1.52775168,1.52775168,154.2744294
10.64246049,1.52697853,1.52697853,155.2744294
10.64323365,1.52620537,1.52620537,156.2744294
10.6440068,1.52543222,1.52543222,157
10.64477995,1.52465907,1.52465907,157
10.64555311,1.52388591,1.52388591,157
10.64632626,1.52311276,1.52311276,157
10.64709941,1.52233961,1.52233961,155.9022824
10.64787257,1.52156645,1.52156645,151.0789941
10.64864572,1.5207933,1.5207933,145.4511412
10.64941888,1.52002014,1.52002014,144
10.65019203,1.51924699,1.51924699,147.5675823
10.65096518,1.51847384,1.51847384,158.0977176
10.65173834,1.51770068,1.51770068,160.4511412
10.65251149,1.51692753,1.51692753,159.2744294
10.65328464,1.51615438,1.51615438,159.7255706
10.6540578,1.51538122,1.51538122,159.8232882
10.65483095,1.51460807,1.51460807,163.9210059
10.6556041,1.51383492,1.51383492,171.1954353
10.65637726,1.51306176,1.51306176,180.0187235
10.65715041,1.51228861,1.51228861,190.4698647
10.65792357,1.51151545,1.51151545,196.1767118
10.65869672,1.5107423,1.5107423,191.8045647
10.65946987,1.50996915,1.50996915,185.4511412
10.66024303,1.50919599,1.50919599,184
10.66101618,1.50842284,1.50842284,183.1767118
10.66178933,1.50764969,1.50764969,181
10.66256249,1.50687653,1.50687653,177.4324177
10.66333564,1.50610338,1.50610338,167.7255706
10.6641088,1.50533022,1.50533022,160.1392648
10.66488195,1.50455707,1.50455707,139.5301353
10.6656551,1.50378392,1.50378392,130.2557059
10.66642826,1.50301076,1.50301076,122.4511412
10.66720141,1.50223761,1.50223761,121.2744294
10.66797456,1.50146446,1.50146446,122.8232882
10.66874772,1.5006913,1.5006913,125.8232882
10.66952087,1.49991815,1.49991815,128
10.67029402,1.499145,1.499145,128.5488588
10.67106718,1.49837184,1.49837184,132.7442941
10.67184033,1.49759869,1.49759869,140.2744294
10.67261349,1.49682553,1.49682553,139.3534235
10.67338664,1.49605238,1.49605238,135
10.67415979,1.49527923,1.49527923,133.9022824
10.67493295,1.49450607,1.49450607,131.2744294
10.6757061,1.49373292,1.49373292,132
10.67647925,1.49295977,1.49295977,136.1164411
10.67725241,1.49218661,1.49218661,147.5488588
10.67802556,1.49141346,1.49141346,150.372147
10.67879872,1.4906403,1.4906403,154
10.67957187,1.48986715,1.48986715,153.7255706
10.68034502,1.489094,1.489094,151.0789941
10.68111818,1.48832084,1.48832084,146.2744294
10.68189133,1.48754769,1.48754769,148.6465765
10.68266448,1.48677454,1.48677454,153
10.68343764,1.48600138,1.48600138,153.5488588
10.68421079,1.48522823,1.48522823,155
10.68498394,1.48445508,1.48445508,154.7255706
10.6857571,1.48368192,1.48368192,153.7255706
10.68653025,1.48290877,1.48290877,152.7255706
10.68730341,1.48213561,1.48213561,152.8232882
10.68807656,1.48136246,1.48136246,153.627853
10.68884971,1.48058931,1.48058931,151.0977176
10.68962287,1.47981615,1.47981615,155.9210059
10.69039602,1.479043,1.479043,161.2744294
10.69116917,1.47826985,1.47826985,161.1767118
10.69194233,1.47749669,1.47749669,158.1767118
10.69271548,1.47672354,1.47672354,155.1767118
10.69348864,1.47595038,1.47595038,153.2744294
10.69426179,1.47517723,1.47517723,153.7255706
10.69503494,1.47440408,1.47440408,153
10.6958081,1.47363092,1.47363092,152.7255706
10.69658125,1.47285777,1.47285777,151.4511412
10.6973544,1.47208462,1.47208462,151.0977176
10.69812756,1.47131146,1.47131146,155.372147
10.69890071,1.47053831,1.47053831,160.0977176
10.69967386,1.46976516,1.46976516,163.2744294
10.70044702,1.468992,1.468992,164.2744294
10.70122017,1.46821885,1.46821885,164.1767118
10.70199333,1.46744569,1.46744569,161.4511412
10.70276648,1.46667254,1.46667254,159.4511412
10.70353963,1.46589939,1.46589939,158.8232882
10.70431279,1.46512623,1.46512623,160.4511412
10.70508594,1.46435308,1.46435308,157.627853
10.70585909,1.46357993,1.46357993,153.1767118
